"ch","s"
"鵲","['cyak H']"
"鷽","['hok H']"
"鳺","['kyu L']"
"鵑","['kyen L']"
"鸂","['kyey L']"
"𪅙","['thik H']"
"鷺","['lwo R']"
"鷥","['so L']"
"翡","['pi R']"
"翠","['chyuy R']"
"鸚","['GoyG L']"
"鵡","['mwu R']"
"䲶","['Gwen L']"
"鴦","['Gang L']"
"鸕","['lwo L']"
"鷀","['co L']"
"麒","['kuy L']"
"麟","['lin L']"
"虎","['hwo R']"
"豹","['phyo L']"
"象","['syang H']"
"獅","['so L']"
"狻","['san L']"
"猊","['Gyey L']"
"獐","['cyang L']"
"麕","['kyun L']"
"麅","['phwo L']"
"麝","['sya R']"
"麋","['mi L']"
"鹿","['lwok H']"
"麀","['Gwu L']"
"麛","['mi L']"
"𧲣","['suy L']"
"狼","['lang L']"
"獱","['pin L']"
"獺","['tal H']"
"獼","['mi L']"
"猴","['hwu L']"
"猢","['hwo L']"
"猻","['swon L']"
"犀","['sye L']"
"貂","['thyo L']"
"豨","['huy L']"
"貓","['myo L']"
"駒","['kwu L']"
"犢","['twok H']"
"猩","['syeng L']"
"猿","['Gwen L']"
"𦍩","['kwo R']"
"䍽","['lyek H']"
"羊","['Gyang L']"
"羔","['kwo L']"
"猪","['tyey L']"
"豕","['si R']"
"彘","['thyey H']"
"豚","['twon L']"
"貉","['hak H']"
"貆","['hwen L']"
"狐","['hwo L']"
"狸","['li L']"
"熊","['Gwung L']"
"羆","['pi L']"
"驝","['thik H']"
"駝","['tha L']"
"狗","['kwu H']"
"獒","['Gwo L']"
"犬","['kyen R']"
"厖","['pang L']"
"馬","['ma H']"
"牛","['Gwu L']"
"驢","['lye L']"
"騾","['lwo L']"
"猯","['tan L']"
"獾","['hwan L']"
"兎","['thwo H']"
"蝟","['Gwuy R']"
"鼢","['pwun L']"
"鼠","['sye R']"
"鼯","['Gwo L']"
"鼪","['soyng L']"
"龍","['lyong L']"
"龜","['kwuy L']"
"黿","['Gwen L']"
"鼈","['pyel L']"
"螃","['pang L']"
"蠏","['hoy L']"
"蠣","['lye R']"
"蟶","['tyeng L']"
"鰕","['ha L']"
"𧵅","['pha R']"
"蚌","['pang R']"
"鰒","['pak H']"
"蛤","['hap H']"
"蜊","['li L']"
"蜃","['syun R']"
"𧖙","['hyen R']"
"鯨","['kyeng L']"
"鯢","['Gyey L']"
"鰱","['lyen L']"
"魴","['pang L']"
"鰻","['man L']"
"鱺","['li L']"
"鰍","['chyu L']"
"鱔","['syen R']"
"鮒","['pwu R']"
"鯽","['cuk H']"
"鱖","['kwel H']"
"鰳","['luk H']"
"鯔","['chuy L']"
"鰷","['tyo L']"
"鯖","['chyeng L']"
"鱧","['lyey H']"
"魺","['ha L']"
"魨","['twon L']"
"鮎","['nyem L']"
"鰋","['Gen R']"
"鯊","['sa L']"
"鱸","['lwo']"
"鯼","['cwong L']"
"鯉","['li R']"
"蜘","['ti L']"
"蛛","['tyu L']"
"蚇","['chyek H']"
"蠖","['hwak H']"
"蛉","['lyeng L']"
"蛚","['lyel H']"
"蜻","['chyeng L']"
"蜓","['tyeng L']"
"蠨","['syo L']"
"蛸","['syo L']"
"蟢","['huy H']"
"螯","['Gwo L']"
"蛺","['hyep H']"
"蝶","['tyep H']"
"蛾","['Ga L']"
"螢","['hyeng L']"
"蚯","['kwu L']"
"蚓","['Gin H']"
"蛐","['kwok H']"
"蟮","['syen H']"
"蠐","['cyey L']"
"螬","['cwo L']"
"蝸","['kwa L']"
"蠅","['sung L']"
"蛇","['sya L']"
"蟒","['mang H']"
"虺","['hwey R']"
"蝮","['pwok H']"
"蠆","['thay H']"
"蠍","['hel H']"
"蚊","['mwun L']"
"䖟","['moyng L']"
"𧑓","['sye R']"
"蝜","['pwu H']"
"蛜","['Gi L']"
"蝛","['Gwuy L']"
"蠷","['kwu L']"
"螋","['swu L']"
"蜣","['kang L']"
"蜋","['lyang L']"
"蟼","['kyeng L']"
"黽","['myeng R']"
"蛙","['Gwa L']"
"蟈","['kwuk H']"
"蜩","['tyo L']"
"蟬","['syen L']"
"螓","['cin L']"
"螗","['tang L']"
"蚰","['Gyu L']"
"蜒","['Gyen L']"
"蚕","['com L']"
"蛹","['Gyong R']"
"蝙","['phyen L']"
"蝠","['pwok H']"
"螳","['tang L']"
"螂","['lang L']"
"螻","['lwu L']"
"蛄","['kwo L']"
"蟫","['tam L']"
"螕","['pi L']"
"蜈","['Gwo L']"
"蚣","['kwong L']"
"蛭","['til H']"
"蟥","['hwang L']"
"蜤","['syek H']"
"蜴","['thyek H']"
"蠑","['Gyeng L']"
"蚖","['Gwen L']"
"螞","['ma R']"
"蚱","['ca R']"
"蝗","['hwang L']"
"螽","['cyong L']"
"螺","['la L']"
"螄","['so L']"
"螌","['pan L']"
"蝥","['mwo L']"
"蟋","['sil H']"
"蟀","['swol L']"
"蟻","['Guy R']"
"蛬","['kwong L']"
"虼","['kel H']"
"蚤","['cwo R']"
"蟣","['kuy R']"
"蝨","['sul H']"
"蜉","['pwu L']"
"蝣","['Gyu L']"
"蠛","['myel H']"
"蠓","['mwong L']"
"蛆","['cye L']"
"蜂","['pwong L']"
"蛀","['cyu H']"
"蠹","['twu H']"
"蚮","['toy R']"
"蝐","['mwo L']"
"蠮","['Gyey L']"
"螉","['Gwong L']"
"蝦","['ha L']"
"蟆","['ma L']"
"蟾","['syem L']"
"蜍","['Gye L']"
"蝌","['kwa L']"
"蚪","['twu H']"
"蛞","['hwal H']"
"𧓕","['twong L']"
"身","['sin L']"
"貌","['mwo R']"
"肢","['ci L']"
"體","['thyey H']"
"顔","['Gan L']"
"面","['myen R']"
"形","['hyeng L']"
"容","['Gyong L']"
"頭","['twu L']"
"首","['syu H']"
"頂","['tyeng R']"
"䪿","['sin R']"
"額","['Goyk H']"
"顱","['lwo L']"
"顁","['tyeng R']"
"䫙","['sang R']"
"顋","['suy L']"
"頰","['hyep H']"
"顴","['kwan R']"
"臉","['lyem R']"
"𩓐","['pol H']"
"頸","['kyeng R']"
"脰","['twu H']"
"項","['hang R']"
"眼","['Gan R']"
"目","['mwok H']"
"睛","['chyeng L']"
"瞳","['twong L']"
"眸","['mwo L']"
"瞼","['kem R']"
"眉","['mi L']"
"睫","['chyep H']"
"鬢","['ping R']"
"頤","['Gi L']"
"頷","['ham L']"
"頦","['hoy L']"
"胳","['kak H']"
"腋","['Goyk H']"
"肋","['luk H']"
"脇","['hep H']"
"肩","['kyen L']"
"臑","['nyo R']"
"腢","['Gwu R']"
"胛","['kap H']"
"拳","['kwen L']"
"腡","['kwa']"
"肐","['kel H']"
"膊","['pak H']"
"口","['kwu H']"
"舌","['syel H']"
"脣","['syun L']"
"吻","['mun R']"
"牙","['Ga L']"
"齒","['chi R']"
"齗","['Gun L']"
"腭","['Gak H']"
"肱","['kwoyng L']"
"臂","['pi R']"
"手","['syu H']"
"掌","['cyang L']"
"指","['ci H']"
"爪","['cwo R']"
"肘","['tyu R']"
"腕","['Gwan R']"
"腓","['pi L']"
"踦","['kuy L']"
"腨","['chyen R']"
"臁","['lyem L']"
"脛","['hyeng R']"
"胻","['hoyng R']"
"骹","['kyo L']"
"骭","['han R']"
"喉","['hwu L']"
"嚨","['lwong L']"
"咽","['Gyen L']"
"嗓","['sang R']"
"耳","['zi R']"
"𦖋","['tha L']"
"鼻","['pi R']"
"凖","['cyun R']"
"心","['sim L']"
"肝","['kan L']"
"脾","['pi L']"
"肺","['phyey R']"
"膓","['tyang L']"
"胃","['Gwuy H']"
"膽","['tam R']"
"腎","['sin R']"
"胷","['hyung L']"
"膛","['tang L']"
"膺","['Gung L']"
"臆","['Gek H']"
"軀","['kwu L']"
"膈","['kyek H']"
"嬭","['nay R']"
"乳","['zyu R']"
"毗","['pi L']"
"胦","['Gang L']"
"脖","['pol H']"
"臍","['cyey L']"
"背","['poy R']"
"脊","['chyek R']"
"腰","['Gyo L']"
"膂","['lye R']"
"腿","['thwoy R']"
"胯","['kwa R']"
"𩩙","['pi R']"
"股","['kwo R']"
"尻","['kwo L']"
"脽","['syu L']"
"臀","['twun L']"
"肛","['hang L']"
"膝","['sul H']"
"膕","['kwuk H']"
"𦚼","['kwok H']"
"䐐","['chyu L']"
"尿","['nyo R']"
"脬","['phwo L']"
"膀","['pang L']"
"胱","['kwang L']"
"髮","['pal H']"
"鬚","['syu L']"
"髭","['co L']"
"髯","['zyem L']"
"肚","['twu H']"
"腹","['pwok L']"
"腔","['kang L']"
"𦚞","['kwang L']"
"呼","['hwo L']"
"吸","['hup H']"
"脉","['moyk H']"
"息","['sik H']"
"肌","['kuy L']"
"膚","['pwu L']"
"腠","['cwu R']"
"膜","['mak H']"
"髑","['twok H']"
"髏","['lwu L']"
"腦","['nwo R']"
"髓","['syu R']"
"骸","['hoy L']"
"骨","['kwol H']"
"骴","['co L']"
"骼","['kak H']"
"跟","['kun L']"
"踵","['cyong H']"
"跗","['pwu L']"
"踝","['kwa R']"
"拇","['mwo R']"
"趾","['ci L']"
"足","['cyok H']"
"脚","['kak H']"
"躬","['kwung L']"
"影","['Gyeng R']"
"音","['Gum L']"
"聲","['syeng L']"
"性","['syeng R']"
"情","['cyeng L']"
"志","['ci H']"
"意","['Guy R']"
"哭","['kwok H']"
"泣","['Gup H']"
"笑","['syo H']"
"哂","['sin R']"
"噦","['Gel H']"
"噫","['Gay R']"
"噴","['pwun H']"
"嚏","['thyey H']"
"鬍","['hwo L']"
"秃","['twok H']"
"肨","['phang H']"
"臞","['kwu L']"
"𥆖","['twu H']"
"眵","['chi L']"
"齈","['nwong L']"
"涕","['thyey H']"
"沫","['mal H']"
"淚","['lyu H']"
"涶","['tha H']"
"涎","['Gyen L']"
"膿","['nwong L']"
"血","['hyel H']"
"液","['Goyk H']"
"汗","['han H']"
"齙","['phwo L']"
"瞎","['hal H']"
"矬","['cwa L']"
"矮","['Gay R']"
"齇","['cha L']"
"皰","['phwo L']"
"齆","['Gwong R']"
"鼾","['han R']"
"溲","['swu L']"
"便","['phyen L']"
"𡱁","['si H']"
"糞","['pwun H']"
"屄","['pi R']"
"𡲰","['cyu H']"
"屁","['phi L']"
"䊧","['pi H']"
"眠","['myen L']"
"睡","['syu H']"
"夢","['mwong R']"
"覺","['kyo R']"
"欠","['hum R']"
"伸","['sin']"
"寤","['Gwo H']"
"寐","['moy H']"
"祖","['cwo H']"
"父","['pwu H']"
"爹","['ta L']"
"爺","['Gya L']"
"媽","['ma R']"
"婆","['pha L']"
"考","['kwo H']"
"妣","['pi R']"
"母","['mwo R']"
"孃","['nyang L']"
"妻","['chye L']"
"妾","['chyep H']"
"妯","['thyuk H']"
"娌","['li R']"
"娣","['tyey H']"
"姒","['so R']"
"男","['nam L']"
"女","['nye H']"
"夫","['pwu L']"
"婦","['pwu H']"
"嫡","['tyek H']"
"蘖","['Gel H']"
"眷","['kwen R']"
"族","['cwok H']"
"妗","['kum R']"
"嫂","['swu R']"
"嬸","['sim R']"
"娘","['nyang L']"
"舅","['kwu R']"
"姑","['kwo L']"
"伯","['poyk H']"
"叔","['syuk H']"
"兄","['hyeng L']"
"哥","['ka L']"
"昆","['kwon L']"
"弟","['tyey R']"
"姨","['Gi L']"
"姐","['cye R']"
"姉","['co R']"
"妹","['moy R']"
"兒","['zo L']"
"童","['twong L']"
"囝","['kyen R']"
"子","['co H']"
"姪","['til H']"
"孫","['swon L']"
"甥","['soyng L']"
"壻","['sye H']"
"孾","['Gyeng L']"
"孩","['hoy L']"
"齠","['thyo L']"
"齔","['chin R']"
"幼","['Gyu R']"
"冲","['thyung L']"
"孺","['zyu R']"
"稚","['thi R']"
"姓","['syeng R']"
"氏","['si H']"
"名","['myeng L']"
"號","['hwo R']"
"親","['chin L']"
"戚","['chyek H']"
"宗","['cwong L']"
"系","['kyey R']"
"奴","['nwo L']"
"婢","['pi R']"
"僮","['twong L']"
"僕","['pwok H']"
"姆","['mwo R']"
"嫗","['kwu R']"
"姥","['mwo R']"
"媼","['Gwo']"
"鰥","['hwan L']"
"寡","['kwa H']"
"嫠","['li L']"
"孀","['sang L']"
"翁","['Gwong L']"
"叟","['swu R']"
"耆","['ki L']"
"老","['lwo R']"
"婚","['hwon L']"
"姻","['Gin L']"
"嫁","['ka R']"
"娶","['chyuy L']"
"精","['cyeng L']"
"氣","['skuy H']"
"孕","['Ging R']"
"毓","['Gyuk H']"
"姙","['zim R']"
"娠","['sin L']"
"娩","['myen H']"
"産","['san R']"
"㝈","['swan H']"
"殼","['nyu R']"
"鞠","['kwuk H']"
"育","['Gyuk L']"
"庠","['syang L']"
"序","['sye R']"
"校","['kyo R']"
"塾","['syuk H']"
"師","['so L']"
"傅","['pwu H']"
"生","['soyng L']"
"徒","['two L']"
"詩","['si L']"
"書","['sye L']"
"易","['Gek H']"
"禮","['lyey H']"
"科","['kwa L']"
"第","['tyey R']"
"儁","['cyun R']"
"儒","['zyu L']"
"章","['cyang L']"
"句","['kwu R']"
"文","['mwun L']"
"字","['co H']"
"典","['tyen R']"
"籍","['cyek H']"
"經","['kyeng L']"
"史","['so R']"
"冊","['choyk H']"
"篇","['phyen L']"
"卷","['kwen R']"
"帙","['til H']"
"筆","['phil H']"
"墨","['muk H']"
"硯","['Gyen H']"
"紙","['ci H']"
"表","['phyo H']"
"箋","['cyen L']"
"命","['myeng R']"
"諭","['Gyu R']"
"詔","['cyo R']"
"勅","['thik H']"
"誥","['kwo R']"
"㫖","['ci H']"
"榜","['pang R']"
"令","['lyeG H']"
"法","['pep H']"
"例","['lyey R']"
"符","['pwu L']"
"契","['kyey R']"
"印","['Gin H']"
"璽","['so R']"
"簡","['kan R']"
"帖","['thyep H']"
"案","['Gan R']"
"牘","['twok H']"
"疏","['swo H']"
"箚","['cap L']"
"奏","['cwu R']"
"啓","['kyey R']"
"狀","['cang R']"
"呈","['tyeng L']"
"牌","['phay L']"
"引","['Gin H']"
"簿","['pwu H']"
"牒","['thep H']"
"槀","['kwo R']"
"批","['phi R']"
"皇","['hwang L']"
"帝","['tyey R']"
"君","['skwun L']"
"主","['cyu H']"
"后","['hwu R']"
"妃","['pi L']"
"嬪","['ping L']"
"嬙","['cyang L']"
"儲","['tye L']"
"副","['pwu R']"
"世","['syey R']"
"代","['toy R']"
"邦","['pang L']"
"國","['kwuk H']"
"辟","['pyek H']"
"王","['Gwang L']"
"公","['kwong L']"
"侯","['hwu L']"
"宰","['coy H']"
"相","['syang H']"
"將","['cyang R']"
"帥","['syu H']"
"駙","['pwu R']"
"卿","['kyeng L']"
"臣","['sin L']"
"僚","['lyo L']"
"貟","['Gwen L']"
"吏","['li R']"
"士","['so R']"
"隷","['Gyey R']"
"民","['min L']"
"氓","['moyG L']"
"閹","['Gem R']"
"宦","['hwan R']"
"閽","['hwon L']"
"䦙","['si R']"
"卒","['cwol H']"
"伍","['Gwo R']"
"軍","['kwun L']"
"丁","['tyeng L']"
"泅","['syu L']"
"㴹","['mi L']"
"㳺","['Gyu L']"
"泳","['Gyeng R']"
"傭","['Gyong L']"
"雇","['kwo R']"
"匠","['cyang H']"
"役","['Gyek H']"
"漁","['Ge L']"
"獵","['lyep H']"
"樵","['chyo L']"
"牧","['mwok H']"
"染","['zyem R']"
"𦘕","['hwa R']"
"筭","['san H']"
"曆","['lyek H']"
