"ch","s"
"梗","['kyeng R']"
"莿","['co R']"
"杈","['cha L']"
"梢","['chyo L']"
"耕","['kyeng L']"
"耰","['Gwu L']"
"種","['cyong H']"
"蒔","['si L']"
"耘","['Gwun H']"
"耔","['co L']"
"𦔩","['phyo L']"
"薅","['hwo L']"
"栽","['coy L']"
"椄","['cyep H']"
"𢳍","['chyen L']"
"揷","['sap H']"
"培","['poy L']"
"壅","['Gwong R']"
"零","['lyeng L']"
"落","['lak H']"
"𤗷","['lin R']"
"瓣","['phan H']"
"㼕","['tang']"
"瓤","['Gyang L']"
"竿","['kan L']"
"箬","['zyak H']"
"筠","['kyun L']"
"籜","['thak H']"
"稼","['ka H']"
"穡","['soyk H']"
"𥡜","['la L']"
"𮃄","['tha R']"
"收","['syu L']"
"割","['hal H']"
"刈","['Gay R']"
"穫","['hwak H']"
"擣","['two R']"
"舂","['syong L']"
"簸","['pha R']"
"䑔","['pel H']"
"稃","['pwu L']"
"秕","['phi R']"
"穅","['kang L']"
"麧","['hul H']"
"莩","['pwu L']"
"莢","['hyep H']"
"柎","['pwu L']"
"萼","['Gak H']"
"榾","['kwol H']"
"柮","['twol H']"
"核","['hoyk H']"
"𣝗","['kwol H']"
"肫","['twun L']"
"膍","['pi L']"
"距","['ke R']"
"尾","['mi R']"
"嘴","['chᆐ R']"
"喙","['hwey R']"
"嗉","['swo R']"
"吭","['hang L']"
"翰","['han R']"
"翮","['kyek H']"
"翅","['si R']"
"翼","['Gik L']"
"翶","['kwo L']"
"翔","['syang L']"
"翓","['hil H']"
"𦐄","['hang L']"
"雌","['co L']"
"雄","['Gwung L']"
"牝","['ping R']"
"牡","['mwo R']"
"塒","['si L']"
"巢","['swo L']"
"窠","['kwa L']"
"棲","['sye L']"
"孶","['co L']"
"菢","['phwo R']"
"卵","['lan R']"
"雛","['chwu L']"
"啄","['thak H']"
"哺","['phwo R']"
"鷇","['kwu R']"
"啼","['tyey L']"
"騲","['chwo H']"
"騍","['kwa R']"
"牯","['kwo R']"
"牸","['co H']"
"犍","['ken L']"
"犗","['kyey R']"
"騸","['syen R']"
"驐","['twon L']"
"肥","['pi L']"
"脿","['phyo L']"
"𤸯","['sang R']"
"踠","['Gwan R']"
"羖","['kwo R']"
"羝","['tyey L']"
"羯","['kal H']"
"豶","['pwun L']"
"嘲","['tyo L']"
"㖡","['Gya R']"
"□","['syek H']"
"鳴","['myeng L']"
"嘶","['suy L']"
"吠","['phyey R']"
"噪","['cwo R']"
"雊","['kwu R']"
"蠢","['cyun R']"
"蠕","['zyen R']"
"翀","['thyung L']"
"翥","['cya R']"
"咆","['phwo L']"
"嘷","['hwo L']"
"呌","['kyo R']"
"吼","['hwu R']"
"咂","['cap H']"
"囓","['hyel H']"
"噬","['sye R']"
"咬","['kyo R']"
"觝","['tyey H']"
"觸","['chyok H']"
"踶","['tyey L']"
"𤜂","['Gwuy H']"
"閑","['han L']"
"圈","['kwen R']"
"苙","['lip L']"
"棧","['can H']"
"豢","['hwan R']"
"養","['Gyang R']"
"飼","['so R']"
"餵","['Gwuy H']"
"騎","['kuy L']"
"乘","['sung L']"
"駕","['ka R']"
"馭","['Ge R']"
"𩥮","['san']"
"駷","['swong R']"
"馳","['thi L']"
"驅","['kwu L']"
"蒐","['swu L']"
"狩","['syu H']"
"獮","['syen']"
"畋","['tyen R']"
"捕","['pwo H']"
"釣","['tyo H']"
"射","['ssya H']"
"屠","['two L']"
"皮","['phi L']"
"革","['hyek H']"
"韋","['Gwuy L']"
"鞹","['kwak H']"
"筋","['kun L']"
"角","['kak H']"
"鬣","['lyep H']"
"鬉","['cwong L']"
"䰇","['ki L']"
"鰾","['phyo L']"
"蹄","['tyey L']"
"蹢","['tyek H']"
"蟠","['pan L']"
"蟄","['thip H']"
"蛻","['Gyey R']"
"𧌆","['kwong L']"
"蚛","['tyung R']"
"蝕","['sik H']"
"蘞","['hem R']"
"螫","['syek H']"
"𮪠","['chan R']"
"𩥇","['tyen R']"
"騰","['tung L']"
"驤","['Gyang L']"
"弨","['thyo L']"
"弛","['Gi R']"
"𢐧","['kyeng L']"
"𡑻","['thyu L']"
"彀","['kwu R']"
"彍","['kwak H']"
"彎","['man L']"
"張","['tyang L']"
"祭","['cyey R']"
"祀","['so R']"
"歆","['hum L']"
"饗","['hyang R']"
"福","['pwok H']"
"祿","['nwok H']"
"祐","['Gwu H']"
"祚","['cwo R']"
"宴","['Gyen R']"
"餞","['cyen R']"
"犒","['kwo R']"
"𤛮","['lwo R']"
"餫","['Gwun R']"
"餉","['hyang R']"
"饁","['nyep H']"
"酺","['phwo R']"
"汲","['kup H']"
"注","['cwu R']"
"澡","['cwo R']"
"洗","['syey R']"
"沐","['mwok H']"
"浴","['Gyok H']"
"漱","['swu R']"
"盥","['kwan R']"
"淘","['two L']"
"淅","['syek H']"
"沙","['sa L']"
"汰","['thay R']"
"泔","['kam L']"
"潘","['pen L']"
"瀋","['sim R']"
"㶕","['kan R']"
"笮","['choyk H']"
"壓","['Gap H']"
"澄","['tung L']"
"濾","['lye R']"
"渣","['sa L']"
"滓","['coy R']"
"垽","['Gun H']"
"澱","['tyen R']"
"涌","['Gyong R']"
"沸","['pi R']"
"滾","['kwon R']"
"涫","['kwan L']"
"添","['thyem H']"
"沃","['Gwok H']"
"溢","['Gil H']"
"瀽","['ken R']"
"𣪮","['ci R']"
"殺","['sal H']"
"煺","['thwoy R']"
"燖","['sim L']"
"撕","['so L']"
"𢸴","['zyem L']"
"烝","['cung L']"
"缹","['pwu R']"
"炊","['chyuy L']"
"爨","['chan H']"
"烹","['phoyng L']"
"煮","['cya R']"
"餁","['zip R']"
"熟","['syuk H']"
"饙","['pwun H']"
"餾","['lyu R']"
"攤","['than L']"
"漧","['kan']"
"擂","['lwoy L']"
"硏","['Gyen L']"
"齍","['coy L']"
"盛","['syeng L']"
"飣","['tyeng R']"
"餖","['twu H']"
"醃","['Gem L']"
"𨠢","['pen L']"
"黴","['moy L']"
"浥","['Gup H']"
"饐","['Gey R']"
"餲","['Gay H']"
"醭","['pwok H']"
"殕","['pwu R']"
"燺","['kwo R']"
"煏","['phip H']"
"焙","['poy L']"
"烘","['hwong L']"
"燔","['pen L']"
"炙","['cya R']"
"煠","['cap H']"
"爚","['Gyak L']"
"爁","['lam R']"
"焦","['chyo L']"
"炮","['phwo L']"
"爊","['Gyo L']"
"煎","['cyen L']"
"熬","['Gwo L']"
"炒","['chyo H']"
"煿","['pak H']"
"嘗","['syang']"
"嗜","['ki L']"
"饞","['cham L']"
"渴","['kal L']"
"味","['mi R']"
"臭","['chyuy R']"
"香","['hyang L']"
"馨","['hyeng L']"
"葷","['hwun L']"
"釅","['Gem R']"
"醇","['syun L']"
"醲","['nwong L']"
"腐","['pwu R']"
"臊","['cwo R']"
"羶","['cyen L']"
"鯹","['syeng L']"
"辛","['sin L']"
"辣","['lal L']"
"酸","['san L']"
"苦","['kwo L']"
"甘","['kam L']"
"甛","['thyem L']"
"鹹","['ham L']"
"淡","['tam R']"
"呑","['thon L']"
"含","['ham L']"
"噙","['kum L']"
"嚥","['Gyen R']"
"齦","['kun L']"
"齕","['hul L']"
"喫","['kik H']"
"噉","['tam R']"
"嗍","['sak H']"
"吮","['Gyen R']"
"舐","['tyey R']"
"舔","['thyem R']"
"啜","['thyel H']"
"歃","['sap H']"
"飮","['Gum H']"
"嚼","['cyak H']"
"醞","['Gwon R']"
"釀","['Gyang R']"
"泲","['co R']"
"𥂖","['lwok H']"
"釃","['suy L']"
"𨢦","['chay H']"
"斟","['cim L']"
"酌","['cyak L']"
"𣂏","['kyu L']"
"挹","['Gup H']"
"舀","['Gyo R']"
"抒","['sye R']"
"獻","['hen L']"
"酬","['syu L']"
"交","['kyo L']"
"錯","['chak H']"
"樂","['Gak H']"
"曲","['kwok H']"
"吹","['chyu L']"
"唱","['chyang R']"
"歌","['ka L']"
"舞","['mwu R']"
"醉","['chyuy R']"
"𨠯","['hwu H']"
"耍","['swa R']"
"戱","['huy R']"
"閧","['hwong R']"
"閙","['nyo R']"
"罵","['ma R']"
"詈","['li R']"
"戰","['cyen R']"
"闘","['thwu H']"
"𨧱","['kwul H']"
"銊","['syul H']"
"斿","['Gyu L']"
"旒","['lyu L']"
"鋩","['mang L']"
"刃","['zin R']"
"鉎","['soyng L']"
"銹","['syu H']"
"型","['hyeng L']"
"模","['mwo L']"
"鞴","['phay R']"
"棙","['lyey R']"
"鐏","['cwon R']"
"錔","['tap H']"
"鈕","['nyu R']"
"釦","['kwu R']"
"焇","['syo L']"
"烊","['Gyang L']"
"焠","['syu H']"
"鋥","['tyeng R']"
"鎔","['Gyong L']"
"冶","['Gya R']"
"鍊","['lyen R']"
"鍛","['tan R']"
"錭","['tyo L']"
"鏤","['lwu L']"
"鍍","['two R']"
"鋈","['Gwok H']"
"鑄","['cwu R']"
"䥱","['sya H']"
"錮","['kwo R']"
"銲","['han R']"
"璺","['mwun R']"
"瑕","['ha L']"
"綻","['than H']"
"𢅯","['pwun R']"
"釘","['tyeng L']"
"鉸","['kyo H']"
"蔑","['myel H']"
"箍","['kwo L']"
"橫","['hwoyng L']"
"斜","['sya L']"
"欹","['kuy L']"
"歪","['kwoy L']"
"牮","['cyen H']"
"拄","['tyu R']"
"搘","['ci L']"
"捂","['Gwo L']"
"頹","['thwoy L']"
"圮","['puy R']"
"坍","['tan L']"
"塌","['thap H']"
"甃","['chyu L']"
"砌","['chyey R']"
"築","['thyuk R']"
"壘","['lyu R']"
"傾","['kyeng H']"
"仄","['chuk H']"
"撼","['ham R']"
"揝","['cam R']"
"撑","['thoyng L']"
"㼭","['tyem R']"
"𢻨","['sap H']"
"攱","['kwey R']"
"坑","['koyng L']"
"坎","['kam R']"
"坳","['Gyo L']"
"陷","['ham R']"
"磽","['kyo L']"
"确","['kak H']"
"塉","['chyek H']"
"潟","['syek H']"
"溜","['lyu R']"
"冓","['kwu L']"
"基","['kuy L']"
"址","['ci H']"
"𥥟","['Gwa R']"
"苫","['syem R']"
"稕","['cyun R']"
"𥴩","['kyek H']"
"孔","['kwong H']"
"穴","['hyel H']"
"窟","['kwul H']"
"竉","['lwoG R']"
"罅","['ha L']"
"釁","['hun R']"
"阿","['Ga L']"
"隙","['kuk H']"
"塵","['tin L']"
"埃","['Gay L']"
"坌","['pwun R']"
"塕","['Gwong R']"
"垢","['kwu R']"
"圿","['kal H']"
"塊","['kwoy R']"
"堛","['pyek H']"
"居","['ke L']"
"處","['chye R']"
"器","['kuy H']"
"皿","['myeng R']"
"衣","['Guy L']"
"服","['pwok H']"
"財","['coy L']"
"貨","['hwa R']"
"豊","['phwung L']"
"稔","['nim R']"
"飽","['phwo R']"
"飫","['Ge R']"
"歉","['kyem R']"
"儉","['kem R']"
"餒","['nwoy R']"
"餓","['Ga R']"
"繅","['swo L']"
"繹","['Gyek H']"
"紡","['pang L']"
"絡","['lak H']"
"緝","['cup H']"
"績","['cyek H']"
"絍","['zim H']"
"織","['cik H']"
"紺","['kam R']"
"緅","['chyu L']"
"纁","['hwun L']"
"緗","['syang L']"
"裁","['coy L']"
"縫","['pwong L']"
"繡","['syu H']"
"刺","['chyek H']"
"穿","['chyen L']"
"着","['thyak H']"
"摳","['kwu L']"
"攐","['ken L']"
"裸","['la H']"
"裎","['tyeng L']"
"袒","['than L']"
"裼","['thyek H']"
"套","['thwo L']"
"搭","['thap H']"
"鞁","['phi R']"
"鞔","['man L']"
"裝","['cang L']"
"𨧫","['so R']"
"嵌","['kam L']"
"塑","['swo R']"
"粧","['cang L']"
"扮","['pan R']"
"搽","['cha L']"
"抹","['mal H']"
"褪","['twon R']"
"卸","['sya H']"
"襤","['lam L']"
"褸","['lwu R']"
"圖","['two L']"
"寫","['ssya R']"
"描","['myo L']"
"罨","['Gap H']"
"紋","['mwun L']"
"綵","['choy R']"
"繪","['hwoy L']"
"飾","['sik H']"
"誆","['kwang R']"
"賺","['tam R']"
"騙","['phyen R']"
"拐","['kway H']"
"博","['pak H']"
"換","['hwan H']"
"糶","['tyo H']"
"糴","['tyek R']"
"租","['cwo L']"
"稅","['syey R']"
"貢","['kwong R']"
"納","['nap H']"
"徵","['ting X']"
"斂","['lyem R']"
"課","['kwa R']"
"式","['sik H']"
"售","['syu H']"
"衒","['hyen R']"
"賣","['may R']"
"鬻","['Gyuk H']"
"沽","['kwo L']"
"買","['moy R']"
"購","['kwu R']"
"貿","['mwu R']"
"賖","['sya L']"
"貰","['syey R']"
"販","['phan H']"
"贗","['Gan R']"
"貼","['thyep H']"
"𧸘","['lyem R']"
"賃","['nim R']"
"僦","['chyuy R']"
"賄","['hwoy R']"
"賂","['lwoy R']"
"贈","['cung R']"
"貽","['Gi L']"
"賞","['syang R']"
"賜","['so R']"
"給","['kup L']"
"賚","['lwoy R']"
"贖","['syok H']"
"債","['chay H']"
"陪","['poy L']"
"償","['syang L']"
"乞","['kel H']"
"假","['ka R']"
"借","['chya R']"
"貸","['toy R']"
"籤","['chyem L']"
"籌","['tyu L']"
"占","['cyem L']"
"筮","['sye R']"
"摴","['tye L']"
"蒱","['phwo L']"
"賭","['two R']"
"賽","['soy H']"
"擹","['than L']"
"擲","['thyek H']"
"拈","['cyem L']"
"鬮","['kwu L']"
"輸","['syu L']"
"贏","['Gyeng L']"
"勝","['sung R']"
"敗","['phay R']"
"搔","['swo L']"
"爬","['pha L']"
"㧓","['kwa R']"
"搯","['kyep H']"
"搲","['Gwa L']"
"捧","['pwong R']"
"抔","['pwu L']"
"掬","['kwuk L']"
"搜","['swu L']"
"探","['tham L']"
"括","['kwal H']"
"檢","['kem R']"
"蘸","['cam R']"
"杻","['nyu R']"
"撈","['lwo L']"
"漉","['lwok H']"
"攬","['lam R']"
"攬","['lwu L']"
"捗","['pwo R']"
"攎","['lwo L']"
"抖","['twu H']"
"擻","['swu R']"
"搓","['cha L']"
"挪","['na L']"
"捻","['nyep H']"
"揑","['nyel H']"
"撚","['nyen R']"
"搣","['myel H']"
"𢶃","['pen L']"
"撋","['zyen L']"
"捼","['na L']"
"挱","['sa L']"
"擡","['toy L']"
"扛","['kang L']"
"擔","['tam R']"
"𢴦","['hyang R']"
"拂","['pul H']"
"拭","['sik H']"
"搵","['Gwon R']"
"揩","['koy L']"
"負","['pwu R']"
"戴","['toy R']"
"馱","['tha L']"
"載","['coy R']"
"擠","['cyey L']"
"拶","['chal H']"
"排","['poy L']"
"挨","['Gay L']"
"吾","['Gwo L']"
"我","['Ga R']"
"予","['Gye L']"
"俺","['Gam L']"
"咱","['ca L']"
"自","['co H']"
"他","['tha L']"
"彼","['phi R']"
"誰","['syu L']"
"孰","['syuk H']"
"伊","['Gi L']"
"某","['mwo R']"
"你","['ni H']"
"恁","['nim R']"
"汝","['zye R']"
"爾","['zi L']"
"儕","['cyey R']"
"輩","['poy R']"
"廝","['suy L']"
"每","['moy L']"
"寃","['Gwen L']"
"讎","['syu L']"
"仇","['kwu L']"
"敵","['tyek H']"
"偸","['thwu L']"
"竊","['cyel H']"
"攘","['zyang H']"
"奪","['thal H']"
"搶","['chang H']"
"掠","['lyak H']"
"俘","['pwu L']"
"馘","['kwoyk H']"
"聖","['syeng R']"
"賢","['hyen L']"
"廉","['lyem L']"
"哲","['thyel H']"
"豪","['hwo L']"
"傑","['kel H']"
"俊","['cyun R']"
"乂","['Gyey R']"
"仁","['zin L']"
"慈","['co L']"
"信","['sin R']"
"義","['Guy R']"
"忠","['thyung L']"
"恕","['sye R']"
"孝","['hyo R']"
"悌","['tyey R']"
"誠","['syeng L']"
"敬","['kyeng R']"
"貞","['tyeng L']"
"烈","['lyel R']"
"恭","['kwong L']"
"讓","['zyaG R']"
"謹","['kun R']"
"慧","['hyey R']"
"剛","['kang L']"
"悍","['han H']"
"勇","['Gyong R']"
"智","['ti L']"
"强","['kang L']"
"猛","['moyng R']"
"暴","['phwo R']"
"武","['mwu R']"
"尊","['cwon L']"
"卑","['pi L']"
"貴","['kwuy R']"
"賤","['chyen R']"
"壽","['syu H']"
"夭","['Gyo R']"
"貧","['pin L']"
"富","['pwu R']"
"姿","['co L']"
"態","['thoy R']"
"蹤","['cyong L']"
"跡","['cyek H']"
"進","['cin R']"
"退","['thwoy R']"
"儀","['Guy L']"
"度","['two L']"
"拜","['poy R']"
"揖","['Gup H']"
"稽","['kyey R']"
"頓","['twon R']"
"拱","['kwong R']"
"叉","['cha L']"
"跪","['kwey R']"
"跽","['kuy H']"
"行","['hoyng L']"
"步","['pwo R']"
"坐","['cwa H']"
"立","['lip H']"
"俯","['pwu R']"
"仰","['Gang R']"
"臥","['Gwa R']"
"起","['kuy H']"
"踐","['chyen R']"
"踏","['tap H']"
"跐","['chay R']"
"跑","['phwo L']"
"蹲","['cwun L']"
"距","['ke R']"
"跣","['syen R']"
"踣","['puk H']"
"蹺","['kyo L']"
"跬","['kyu R']"
"蹶","['kwel H']"
"跌","['til H']"
"踴","['Gyong R']"
"躍","['Gyak H']"
"跳","['tyo L']"
"趯","['thyek H']"
"窺","['kyu L']"
"覘","['tyem R']"
"顧","['kwo R']"
"看","['kan L']"
"見","['kyen R']"
"視","['si R']"
"瞻","['chyem L']"
"覿","['tyek H']"
"覩","['two R']"
"覯","['kwu R']"
"覽","['lam R']"
"觀","['kwan L']"
"瞰","['kam R']"
"眺","['tyo R']"
"瞬","['syun R']"
"瞑","['myeng L']"
"聾","['lwong L']"
"聵","['hwey H']"
"聰","['chwong H']"
"𦕠","['hwong L']"
"聽","['thyeng L']"
"䎸","['Gwo R']"
"聞","['mwun L']"
"聆","['lyeng L']"
"談","['tam L']"
"話","['hwoy R']"
"言","['Gen L']"
"語","['Ge R']"
"謇","['ken L']"
"吃","['kel H']"
"訒","['zin R']"
"訥","['nwul L']"
"諫","['kan R']"
"諍","['coyng R']"
"訐","['Gal H']"
"訕","['san R']"
"說","['syel L']"
"謊","['hwang R']"
"誘","['Gyu R']"
"訹","['thyul L']"
"諂","['thyem L']"
"諛","['Gyu R']"
"佞","['nyeng R']"
"辯","['pyen R']"
"是","['si R']"
"非","['pi L']"
"枉","['Gwang R']"
"直","['tik H']"
"謗","['pang R']"
"讟","['twok H']"
"毁","['hwey R']"
"譽","['Gyey R']"
"譏","['kuy L']"
"誚","['chyo H']"
"譴","['kyen R']"
"謮","['choyk H']"
"讒","['cham L']"
"譖","['chom H']"
"訴","['swo R']"
"告","['kwo H']"
"贓","['cang L']"
"證","['cung R']"
"誣","['mwu L']"
"覈","['hoyk L']"
"黥","['kyeng L']"
"劓","['Guy R']"
"剕","['pi R']"
"刖","['Gwel H']"
"罪","['cwoy R']"
"辜","['kwo L']"
"罰","['pel H']"
"謫","['tyek L']"
"打","['tha R']"
"拷","['kwo H']"
"捶","['chywey R']"
"撻","['tal H']"
"趕","['han H']"
"逐","['thyuk H']"
"黜","['thyul H']"
"斥","['chyek H']"
"奸","['kan L']"
"詐","['sa R']"
"狡","['kyo R']"
"猾","['hwal R']"
"慳","['kan L']"
"悋","['lin R']"
"靳","['kun L']"
"嗇","['soyk H']"
"懦","['na R']"
"弱","['Gyak H']"
"迷","['mi L']"
"劣","['lyel H']"
"饕","['two L']"
"餮","['thyel H']"
"貪","['tham L']"
"婪","['lam L']"
"嬾","['lan R']"
"惰","['tha H']"
"懈","['hoy R']"
"怠","['thoy H']"
"愚","['Gwu L']"
"騃","['Gay R']"
"癡","['thi L']"
"憨","['ham L']"
"好","['hwo H']"
"歹","['tay R']"
"善","['syen R']"
"惡","['Gak H']"
"能","['nung L']"
"否","['pwu R']"
"淑","['syuk H']"
"慝","['thuk H']"
"德","['tek H']"
"行","['hoyng R']"
"學","['hok R']"
"業","['Gep H']"
"才","['coy L']"
"術","['syul H']"
"技","['ki R']"
"藝","['Gyey H']"
"職","['cik H']"
"任","['zim R']"
"資","['co L']"
"級","['kup H']"
"功","['kwong L']"
"勣","['cyek L']"
"勳","['hwun L']"
"勩","['Gyey L']"
"刑","['hyeng L']"
"政","['cyeng L']"
"事","['sso R']"
"務","['mwu R']"
"嚴","['Gem L']"
"威","['Gwuy L']"
"恩","['Gun L']"
"惠","['hyey R']"
"統","['thwong R']"
"御","['Ge H']"
"攝","['syep H']"
"理","['li R']"
"撫","['mwu R']"
"恤","['hyul H']"
"賑","['cin R']"
"濟","['cyey R']"
"講","['kang R']"
"誨","['hwoy R']"
"敎","['kyo R']"
"訓","['hwun R']"
"讀","['twok H']"
"習","['sup H']"
"諷","['phwung R']"
"誦","['syong X']"
"盟","['moyng H']"
"誓","['syey R']"
"𧞣","['Gyem R']"
"禳","['Gyang L']"
"祈","['kuy L']"
"禱","['two H']"
"讚","['chan R']"
"頌","['syong R']"
"謳","['kwu L']"
"謠","['Gyo L']"
"吟","['Gum L']"
"嘯","['syo R']"
"問","['mwun R']"
"訊","['sin R']"
"詞","['so L']"
"訟","['syong H']"
"嬖","['phyey R']"
"寵","['thyong R']"
"姬","['huy L']"
"姜","['kang L']"
"偎","['Gwoy L']"
"愛","['Goy H']"
"矜","['kung L']"
"憐","['lyen L']"
"皴","['cyun L']"
"皺","['chwu L']"
"蚩","['chi H']"
"醜","['chyuy R']"
"丰","['pwong L']"
"艶","['Gyem R']"
"嬌","['kyo H']"
"姸","['Gyen L']"
"伉","['hang R']"
"儷","['lyey H']"
"雙","['swang L']"
"對","['toy R']"
"孑","['hyel H']"
"隻","['chyek R']"
"孤","['kwo L']"
"獨","['twok H']"
"一","['Gil H']"
"壹","['Gil H']"
"二","['zi L']"
"貳","['zi H']"
"三","['sam L']"
"四","['so R']"
"五","['Gwo R']"
"六","['lyuk H']"
"七","['chil H']"
"八","['phal H']"
"九","['kwu R']"
"十","['sip H']"
"百","['poyk H']"
"千","['chyen L']"
"萬","['man R']"
"億","['Gek H']"
"分","['pwun L']"
"兩","['lyang R']"
"寸","['chwon R']"
"斤","['kun L']"
"担","['tan R']"
"托","['thak H']"
"咫","['ci R']"
"坼","['thoyk L']"
"左","['cwa R']"
"右","['Gwu R']"
"前","['cyen L']"
"後","['hwu R']"
"遐","['ha L']"
"遠","['Gwen R']"
"近","['kun R']"
"邇","['zi R']"
"上","['syang R']"
"下","['ha R']"
"內","['noy H']"
"外","['Gwoy R']"
"中","['tyung L']"
"間","['kan L']"
"衷","['thyung L']"
"裏","['li R']"
"烟","['Gyen L']"
"火","['hwa R']"
"焚","['pwun H']"
"燒","['syo L']"
"燄","['Gyem R']"
"炸","['ca R']"
"煻","['tang L']"
"煨","['Gwoy L']"
"燬","['hwey R']"
"爇","['syel H']"
"燎","['lyo R']"
"燹","['syen R']"
"燼","['sin R']"
"炷","['cwu R']"
"灰","['hwoy L']"
"炲","['thoy L']"
"洚","['kang R']"
"水","['syu H']"
"瀰","['mi R']"
"漫","['man R']"
"漲","['thyang R']"
"濫","['lam R']"
"淹","['Gem R']"
"溺","['nik H']"
"渾","['hwon H']"
"淪","['lyun L']"
"汪","['Gwang L']"
"濊","['Gyey R']"
"泯","['min R']"
"滅","['myel R']"
"終","['cyong R']"
"極","['kuk H']"
"天","['thyen']"
"地","['ti']"
"玄","['hyen']"
"黃","['hwaG']"
"宇","['Gwu']"
"宙","['tyu']"
"洪","['hwoG']"
"荒","['hwaG']"
"日","['zil']"
"月","['Gwel']"
"盈","['GyeG']"
"仄","['choyk']"
"辰","['cin']"
"宿","['syuk']"
"列","['lyel']"
"張","['tyaG']"
"寒","['han']"
"來","['loy']"
"暑","['sye']"
"往","['GwaG']"
"秋","['chyu']"
"收","['syu']"
"冬","['twoG']"
"藏","['caG']"
"閏","['Gyun']"
"餘","['Gye']"
"成","['syeG']"
"歲","['syey']"
"律","['lyul']"
"呂","['lye']"
"調","['tyo']"
"陽","['GyaG']"
"雲","['Gwun']"
"騰","['tuG']"
"致","['thi']"
"雨","['Gwu']"
"露","['lwo']"
"結","['kyel']"
"爲","['Gwuy']"
"霜","['saG']"
"金","['kum']"
"生","['soyG']"
"麗","['lye']"
"水","['syu']"
"玉","['Gwok']"
"出","['chyul']"
"崑","['kwon']"
"岡","['kaG']"
"劒","['kem']"
"號","['hwo']"
"巨","['ke']"
"闕","['kwel']"
"珠","['cyu']"
"稱","['chin']"
"夜","['Gya']"
"光","['kwaG']"
"果","['kwa']"
"珍","['tin']"
"李","['ni']"
"奈","['nay']"
"菜","['choy']"
"重","['tyuG']"
"芥","['kay']"
"薑","['kaG']"
"海","['hoy']"
"鹹","['ham']"
"河","['ha']"
"淡","['tam']"
"鱗","['lin']"
"潛","['com']"
"羽","['Gwu']"
"翔","['syaG']"
"龍","['lyoG']"
"師","['so']"
"火","['hwa']"
"帝","['tyey']"
"鳥","['tyo']"
"官","['kwan']"
"人","['Gin']"
"皇","['hwaG']"
"始","['si']"
"制","['cyey']"
"文","['mwun']"
"字","['co']"
"乃","['nay']"
"服","['pwok']"
"衣","['Guy']"
"裳","['syaG']"
"推","['chyu']"
"位","['Gwuy']"
"讓","['GyaG']"
"國","['kwuk']"
"有","['Gyu']"
"虞","['Gwu']"
"陶","['two']"
"唐","['taG']"
"弔","['tyo']"
"民","['min']"
"伐","['pel']"
"罪","['cwoy']"
"周","['cyu']"
"發","['pal']"
"殷","['Gun']"
"湯","['thaG']"
"坐","['ca']"
"朝","['tyo']"
"問","['mwun']"
"道","['two']"
"垂","['syu']"
"拱","['kwoG']"
"平","['phyeG']"
"章","['cyaG']"
"愛","['Goy']"
"育","['hyuk']"
"黎","['lye']"
"首","['syu']"
"臣","['sin']"
"伏","['pwok']"
"戎","['GyuG']"
"羌","['kaG']"
"遐","['ha']"
"邇","['Gi']"
"壹","['Gil']"
"體","['thyey']"
"率","['cwol']"
"賓","['piG']"
"歸","['kwuy']"
"王","['GwaG']"
"鳴","['myeG']"
"鳳","['pwoG']"
"在","['coy']"
"樹","['syu']"
"白","['poyk']"
"駒","['kwu']"
"食","['sik']"
"場","['taG']"
"化","['hwa']"
"被","['phi']"
"草","['chwo']"
"木","['mwok']"
"賴","['lwoy']"
"及","['kup']"
"萬","['man']"
"方","['paG']"
"蓋","['kay']"
"此","['cho']"
"身","['sin']"
"髮","['pal']"
"四","['so']"
"大","['tay']"
"五","['Gwo']"
"常","['syaG']"
"恭","['kwoG']"
"惟","['Gyu']"
"鞠","['kwuk']"
"養","['GyaG']"
"豈","['kuy']"
"敢","['kam']"
"毁","['hᆀ']"
"傷","['syaG']"
"女","['nye']"
"慕","['mwo']"
"貞","['tyeG']"
"潔","['kyel']"
"男","['nam']"
"效","['hyo']"
"才","['coy']"
"良","['lyaG']"
"知","['ti']"
"過","['kwa']"
"必","['phil']"
"改","['koy']"
"得","['tuk']"
"能","['nuG']"
"莫","['mak']"
"忘","['maG']"
"罔","['maG']"
"談","['tam']"
"彼","['phi']"
"短","['tan']"
"靡","['mi']"
"恃","['si']"
"己","['kuy']"
"長","['tyaG']"
"信","['sin']"
"使","['so']"
"可","['ka']"
"覆","['pwok']"
"器","['kuy']"
"欲","['Gyok']"
"難","['lan']"
"量","['lyaG']"
"墨","['muk']"
"悲","['pi']"
"絲","['so']"
"染","['Gyem']"
"詩","['si']"
"讚","['chan']"
"羔","['kwo']"
"羊","['GyaG']"
"景","['kyeG']"
"行","['hoyG']"
"維","['Gyu']"
"賢","['hyen']"
"剋","['kuk']"
"念","['nyem']"
"作","['cak']"
"聖","['syeG']"
"德","['tek']"
"建","['ken']"
"名","['myeG']"
"立","['nip']"
"形","['hyeG']"
"端","['tan']"
"表","['phyo']"
"正","['cyeG']"
"空","['kwoG']"
"谷","['kwok']"
"傳","['tyen']"
"聲","['syeG']"
"虛","['he']"
"堂","['taG']"
"習","['sup']"
"聽","['thyeG']"
"禍","['hwa']"
"因","['Gin']"
"惡","['Gak']"
"積","['cyek']"
"福","['pwok']"
"緣","['Gyen']"
"善","['syen']"
"慶","['kyeG']"
