No,Group,Name,Div,Baxter,B (ASCII),Karlgren,Shao,Wang Li,Pulleyblank,Zhengzhang,Li Rong,Pan Wuyun,한국음 (종합),일본음(吳),일본음(漢),만다린 (종합),幇組,見組 등,精組,端組,來,娘,知組,莊組,章組
106,宕攝 ang,陽合,3,jwang,jwang,iwaŋ,iuɑŋ,ĭwaŋ,uaŋ,ʉɐŋ,iuaŋ,ʷiɐŋ,왕,wyau,wyau,"uang,ang",ang,uang,,,,,,,
107,宕攝 ang,藥開,3,jak,jak,i̯ak̚,iɑk̚,ĭak̚,ɨak̚,ɨɐk̚,iak̚,iɐk̚,약(악),"aku, yaku","aku, yaku","üe,uo,o",,üe ~ iao,üe ~ iao,,üe,ㅁㄹ,uo ~ ao,ㅁㄹ,uo ~ ao
108,宕攝 ang,藥合,3,jwak,jwak,iwak̚,iuɑk̚,ĭak̚,uak̚,ʉɐk̚,iuak̚,ʷiɐk̚,왁,wyaku?,wyaku?,"üe,uo,o",u,üe,,,,,,,
109,梗攝 eng,庚二開,2,æng,aeng,ɐŋ,aŋ,ɐŋ,aɨjŋ,ˠæŋ,ɐŋ,ᵚaŋ,"ᄋᆡᆼ,영",yau,au,eng,eng,eng,,打,eng,ing,eng,eng,
110,梗攝 eng,庚二合,2,wæng,waeng,wɐŋ,uaŋ,wɐŋ,waɨjŋ,ˠwæŋ,uɐŋ,ʷᵚaŋ,욍,wau,wau,"ueng,eng",,uang,,,,,,,
111,梗攝 eng,庚三開/庚重鈕三開,3,jæng,jaeng,i̯ɐŋ,iaŋ,ĭɐŋ,iajŋ,ˠiæŋ,iɐŋ,ᵚiaŋ,영,"au, yau",ei,"ing,eng",ing,ing,,,,,,eng,
112,梗攝 eng,庚重鈕三合/庚三合,3,jwæng,jwaeng,i̯wɐŋ,iuaŋ,ĭwɐŋ,wiajŋ,ˠwiæŋ,iuɐŋ,ʷᵚiaŋ,영,wyau,ei,"iong,ueng,ing",,iong ~ ing,,,,,,,
113,梗攝 eng,陌二開,2,æk,aek,ɐk̚,ak̚,ɐk̚,aɨjk̚,ˠæk̚,ɐk̚,ᵚak̚,"ᄋᆡᆨ,역",yaku,aku,"e,o",o ~ ai,e,,,,uo,e ~ ai,e ~ ai,
114,梗攝 eng,陌二合,2,wæk,waek,wɐk̚,uak̚,wɐk̚,waɨjk̚,ˠwæk̚,uɐk̚,ʷᵚak̚,왹,waku?,waku?,"uo,o",,uo,,,,,,,
115,梗攝 eng,陌三開,3,jæk,jaek,iɐk̚,iak̚,ĭɐk̚,iajk̚,ˠiæk̚,iɐk̚,ᵚiak̚,역,yaku,eki,i,i,i,,,,,,,
